establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name
USG Interiors Walworth|USG|WI|1|21|64|135512|453811432|'USG Corporation'|usg
US Gypsum Washingtonville|USG|PA|1|22|161|309309|361898410|'USG Corporation'|usg
US Gypsum Weirton|USG|WV|1|21|22|40102|361898410|'USG Corporation'|usg
USG Interiors Westlake|USG|OH|1|22|174|353831|453811432|'USG Corporation'|usg
USG Interiors Cloquet|USG|MN|1|3|402|794324|453811432|'USG Corporation'|usg
USG Corporation|USG|AL|1|22|228|435560|361898410|'USG Corporation'|usg
General Coatings Manufacturing Corp.|General Coatings Manufacturing Corp.|CA|1|2|27|61300|461269090|'General Coatings Manufacturing Corp.'|general coatings
1300|CentiMark Corporation|MD|1|21|56|84929|251194990|'CentiMark Corporation'|centimark
Great Lakes Management GTHI Cottagewood  Buffalo AL|Great Lakes Management|MN|1|2|61|69987|203937802|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management GTHI Cottagewood  Buffalo MC|Great Lakes Management|MN|1|2|54|74997|203937802|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management Corporate|Great Lakes Management|MN|1|2|59|108575|411614587|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management GTHI The Glenn Hopkins Terraces|Great Lakes Management|MN|1|2|74|124009|203937802|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management GTHI The Glenn Minnetonka|Great Lakes Management|MN|1|2|86|123220|203937802|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management Laurel Village|Great Lakes Management|MN|1|2|17|38479|411614587|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management GTHI Cottagewood  Mankato|Great Lakes Management|MN|1|2|42|29817|203937802|'Great Lakes Systems Inc.'|great lakes
Great Lakes Management GTHI Cottagewood Rochester|Great Lakes Management|MN|1|2|185|257899|203937802|'Great Lakes Systems Inc.'|great lakes
General Coatings Corp|General Coatings Corp|CA|1|3|164|262172|330259909|'General Coatings Manufacturing Corp.'|general coatings
John A. Dalsin & Son, Inc.|John A. Dalsin & Son, Inc.|MN|1|21|79|142092|411408661|'John A. Dalsin & Son Inc.'|john a. dalsin & son
Roof Tech, Inc.|Roof Tech, Inc.|MN|1|2|29|42192||'Roof Tech Inc.'|roof tech
N.F. Mansuetto & Sons, Inc.|N.F. Mansuetto & Sons, Inc.|OH|1|21|70|130259|550483513|'N.F. Mansuetto & Sons Inc.'|n.f. mansuetto & sons
Hale Contracting, Inc.|Hale Contracting, Inc.|NY|1|22|98|161860|161513772|'Hale Contracting Inc.'|hale contracting
The Lawson Roofing Co. Inc.|The Lawson Roofing Co. Inc.|CA|1|2|102|183635|942401421|'The Lawson Roofing Co. Inc.'|the lawson roofing
Jim Murray Roofing, Inc.|Jim Murray Roofing, Inc.|CA|1|21|45|93600|814059502|'Jim Murray Roofing Inc'|jim murray roofing
The Quality Roofing Company|The Quality Roofing Company|MO|1|21|24|37756|440400020|'The Quality Roofing Co. Inc.'|the quality roofing
Rio Roofing, Inc.|Rio Roofing, Inc.|TX|1|21|42|90350|742427440|'Rio Roofing', 'Rio Roofing Inc.'|rio roofing
Watkins Roofing, Inc.|Watkins Roofing, Inc.|MO|1|21|75|145902|431003848|'Watkins Roofing Inc.'|watkins roofing
Ceilings Plus|USG|CA|1|22|167|323231|384049706|'USG Corporation'|usg
Hertless Brothers Roofing, Inc.|Hertless Brothers Roofing, Inc.|VA|1|21|17|29682|202009976|'Hertless Brothers Roofing Inc.'|hertless brothers roofing
D&L Roofing, LLC|D&L Roofing, LLC|NV|1|21|65|95371|272001551|'D&L Roofing LLC'|d&l roofing
Hartford South, LLC|Hartford South, LLC|FL|1|22|94|238160||'Hartford South LLC'|hartford south
Baltimore|GAF|MD|1|2|166|421269|223626208|'GAF'|gaf
Myerstown|GAF|PA|1|2|150|332920|741925368|'GAF'|gaf
Tampa|GAF|FL|1|2|119|285861|223626208|'GAF'|gaf
Stockton|GAF|CA|1|2|32|95047|223626208|'GAF'|gaf
Savannah|GAF|GA|1|2|150|397606|223626208|'GAF'|gaf
Dallas|GAF|TX|1|2|154|330563|205980312|'GAF'|gaf
Michigan City|GAF|IN|1|2|181|395185|223626208|'GAF'|gaf
Minneapolis|GAF|MN|1|2|127|300596|223626208|'GAF'|gaf
Ennis Roofing|GAF|TX|1|2|173|454614|741925368|'GAF'|gaf
Ennis Mat|GAF|TX|1|21|80|204775|741925368|'GAF'|gaf
Burgaw|GAF|NC|1|22|240|532155|582394554|'GAF'|gaf
Cedar City|GAF|UT|1|21|81|162938|461261209|'GAF'|gaf
Gainesville|GAF|TX|1|22|115|258271|204921692|'GAF'|gaf
Chester|GAF|SC|1|21|98|183421|223626208|'GAF'|gaf
Cumming|GAF|GA|1|21|33|81799|203531649|'GAF'|gaf
Statesboro|GAF|GA|1|21|78|154749|223626208|'GAF'|gaf
Mt. Vernon Shingle|GAF|IN|1|2|235|479677|223626208|'GAF'|gaf
Mt. Vernon TPO|GAF|IN|1|21|38|93806|223626208|'GAF'|gaf
Phoenix|GAF|AR|1|2|27|64006|270673916|'GAF'|gaf
Fontana|GAF|CA|1|2|120|296963|223626208|'GAF'|gaf
Shafter Shingle|GAF|CA|1|2|168|458057|741925368|'GAF'|gaf
Johnson's Roofing Service Inc|Johnson's Roofing Service Inc|SC|1|21|109|261012|561458196|'Johnson's Roofing Service Inc.'|johnson's roofing service
Granite City Roofing, Inc.|Granite City Roofing, Inc.|MN|1|21|28|39118|411266940|'Granite City Roofing Inc.'|granite city roofing
Roof Check INC|Roof Check Inc|CO|1|21|65|115620|841035057|'Roof Check Inc.'|roof check
Commercial Roofers, Inc.|Commercial Roofers, Inc.|NV|1|3|230|426377|880371026|'Commercial Roofers Inc.'|commercial roofers
Haydon Construction Incorporated|Haydon Construction Incorporated|CA|1|2|48|76293||'Haydon Corporation'|haydon
TW Metals - Seattle|O'Neal Industries|WA|1|21|49|89683|464009440|'O'Neal Construction'|o'neal
TW Metals - Cincinnati|O'Neal Industries|OH|1|21|35|65490|464009440|'O'Neal Construction'|o'neal
TW Metals - Exton|O'Neal Industries|PA|1|22|108|218929|464009440|'O'Neal Construction'|o'neal
TW Metals - LA|O'Neal Industries|CA|1|21|82|156349|464009440|'O'Neal Construction'|o'neal
TW Metals - Wichita|O'Neal Industries|KS|1|21|55|102707|464009440|'O'Neal Construction'|o'neal
TW Metals - Cranbury|O'Neal Industries|NJ|1|21|38|76457|464009440|'O'Neal Construction'|o'neal
TW Metals - STP|O'Neal Industries|NJ|1|21|20|40463|464009440|'O'Neal Construction'|o'neal
TW Metals - Atlanta|O'Neal Industries|GA|1|21|36|68460|464009440|'O'Neal Construction'|o'neal
Warren Construction & Roofing, Inc|Warren Construction & Roofing, Inc|CA|1|21|35|59223|202626621|'Warren Construction & Roofing Inc.'|warren construction & roofing
Gillespie Roofing, Inc.|Gillespie Roofing, Inc.|WA|1|1|10|20473|911334128|'Gillespie Roofing Inc.'|gillespie roofing
Elite Welding Academy|United Group Services|OH|1|1|15|21272|510606029|'United Contractors'|united
Soltech, Sprinfield TN|Owens Corning|TN|1|21|54|88149|351575937|'Owens Corning'|owens corning
New Columbia TPO|GAF|PA|1|22|105|284874|813158452|'GAF'|gaf
IRS Jackson|Independent Roofing Systems|MS|1|22|192|448282|640657679|'Independent Roofing Company Inc.', 'Independent Roofing Systems Inc.'|independent roofing
Mid-South Roof Systems|Mid-South Roof Systems|GA|1|22|206|505276|581876904|'Mid-South Roof Systems'|mid-south roof
Shafter Glass Mat|GAF|CA|1|1|86|187928|741925368|'GAF'|gaf
Fort Smith Plant|Owens Corning|AR|1|22|121|185690||'Owens Corning'|owens corning
Carlon Roofing & Sheet Metal, Inc|Carlon Roofing & Sheet Metal, Inc.|KY|1|21|64|76485|611172306|'Carlon Roofing & Sheet Metal Company'|carlon roofing & sheet metal
Graham Prewett, Inc.|Graham Prewett, Inc.|CA|1|22|80|160736|770565773|'Graham Prewett Inc.'|graham prewett
Damschroder Roofing, Inc.|DAMSCHRODER ROOFING INC|OH|1|21|61|116520|342037110|'Damschroder Roofing LLC'|damschroder roofing
Webco Oklahoma Distribution|Webco Industries|OK|1|21|64|135031|731097133|'WEBCO Services LLC'|webco
Webco - Texas Distribution|Webco Industries|TX|1|21|40|84074|731097133|'WEBCO Services LLC'|webco
O'Neal Steel LLC_Birmingham|O'Neal Industries|AL|1|22|127|260578|630196990|'O'Neal Construction'|o'neal
O'Neal Steel LLC_Jacksonville|O'Neal Industries|FL|1|21|26|49974|630196990|'O'Neal Construction'|o'neal
O'Neal Steel LLC_Nashville|O'Neal Industries|TN|1|21|22|43967|630196990|'O'Neal Construction'|o'neal
O'Neal Steel LLC_Shelbyville|O'Neal Industries|IN|1|21|85|163129|630196990|'O'Neal Construction'|o'neal
O'Neal Steel LLC_Greensboro|O'Neal Industries|NC|1|21|32|62060|630196990|'O'Neal Construction'|o'neal
O'Neal Steel LLC_Waterloo|O'Neal Industries|IA|1|21|27|50427|630196990|'O'Neal Construction'|o'neal
Highland - Raleigh|Highland Roofing Company|NC|1|21|32|62656||'Highland Roofing Co. Inc.', 'Highland Roofing Company'|highland roofing
McDonnell Roofing Inc|McDonnell Roofing Inc|CA|1|21|47|41933|330992075|'McDonnell Roofing Inc.'|mcdonnell roofing
Madison SpringHill Suites|Raymond Management Company|WI|1|21|47|72775|825053208|'Raymond Group'|raymond
Bloom Roofing Systems Inc|Bloom Roofing Systems Inc.|MI|1|22|98|188898||'Bloom Roofing Systems Inc.'|bloom roofing
UNITED CONSTRUCTION CORP|UNITED CONSTRUCTION CORP|NH|1|2|47|96283|020257849|'United Contractors'|united
C.O. Beck & Sons|C.O. Beck & Sons|ME|1|21|20|34000|010246859|'C.O. Beck & Sons Inc.'|c.o. beck & sons
Continental Tire Mt. Vernon|Continental Tire the Americas llc|IL|1|3|3997|8403418||'Continental Tire the Americas LLC.'|continental tire the americas
GreenWood, Inc. - Caterpiller|GreenWood, Inc.|GA|1|21|51|96752|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Dow|GreenWood, Inc.|WV|1|21|78|141457|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Fujifilm - Hanover Park|GreenWood, Inc.|IL|1|21|41|77642|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Fujifilm|GreenWood, Inc.|SC|1|21|28|49251|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. -   Home Office|GreenWood, Inc.|SC|1|1|17|35360|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - GE Aerospace - Auburn|GreenWood, Inc.|AL|1|21|25|46774|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - GE Aerospace - Durham|GreenWood, Inc.|NC|1|1|1|2387|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc.- GE Aerospace - Piedmont|GreenWood, Inc.|SC|1|1|19|35399|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Greer - West Projects|GreenWood, Inc.|SC|1|1|7|12763|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Honeywell|GreenWood, Inc.|SC|1|21|24|44652|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Kureha|GreenWood, Inc.|WV|1|1|8|15723|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. -  Merck|GreenWood, Inc.|VA|1|21|96|181949|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Mitsubishi|GreenWood, Inc.|SC|1|21|34|58489|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Optima|GreenWood, Inc.|WV|1|1|1|1971|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Solvay - Syensqo|GreenWood, Inc.|GA|1|21|47|90849|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Standard Aero|GreenWood, Inc.|GA|1|1|7|11504|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Toyota - Buffalo|GreenWood, Inc.|WV|1|21|26|45705|570967122|'Greenwood Industries Inc.'|greenwood
Harness Roofing MN|Harness Roofing Inc.|LA|1|1|11|24244|710654212|'Harness Roofing Inc.'|harness roofing
GreenWood, Inc. - ZF Transmissions|GreenWood, Inc.|SC|1|21|23|41969|570967122|'Greenwood Industries Inc.'|greenwood
GreenWood, Inc. - Fujifilm (Medical)|GreenWood, Inc.|FL|1|1|1|1874|570967122|'Greenwood Industries Inc.'|greenwood
Red Pointe Roofing, LP|Red Pointe Roofing, LP|CA|1|22|133|281620|900957014|'Red Pointe Roofing'|red pointe roofing
Highland Commercial Roofing, LLC|Highland Commercial Roofing, LLC|AZ|1|21|27|53280|260502952|'Highland Commercial Roofing'|highland commercial roofing
Paramount Roofing, Inc|Paramount Roofing, Inc|NY|1|21|30|49377|262459527|'Paramount Roofing Inc.', 'Paramount Roofing LLC'|paramount roofing
Roof Asset Management Inc.|Roof Asset Management Inc.|CA|1|21|54|105429|812728224|'Roof Asset Management Inc.'|roof asset
JSR, Inc|JSR, Inc|TX|1|2|81|170662|760735639|'JSR Services LLC'|jsr
Charleston SC IW Plant|Owens Corning|SC|1|2|30|52025|930957943|'Owens Corning'|owens corning
Phoenix Office|McCarthy Building Companies, Inc.|AZ|1|3|209|433738|430399290|'McCarthy Building Companies'|mccarthy building companies
Denver Office|McCarthy Building Companies, Inc.|CO|1|1|6|12473|430399290|'McCarthy Building Companies'|mccarthy building companies
McCarthy Building Companies - Houston Office|McCarthy Building Companies|TX|1|2|43|88155|430399290|'McCarthy Building Companies'|mccarthy building companies
McCarthy Building Companies, Inc. - Southern Region Atlanta Office|McCarthy Building Companies, Inc|GA|1|2|85|177339|430399290|'McCarthy Building Companies'|mccarthy building companies
Administration Annex|Monarch|NC|1|21|18|31808|561326126|'Monarch Consulting Services'|monarch
Anderson Road Group Home|Monarch|NC|1|1|9|13587|561326126|'Monarch Consulting Services'|monarch
Andrea Drive Group Home|Monarch|NC|1|1|2|4365|561326126|'Monarch Consulting Services'|monarch
Anson Adult Group Home|Monarch|NC|1|1|2|6315|561326126|'Monarch Consulting Services'|monarch
Ansonville Group Home|Monarch|NC|1|1|11|19513|561326126|'Monarch Consulting Services'|monarch
Asheboro School Road Group Home|Monarch|NC|1|1|4|6573|561326126|'Monarch Consulting Services'|monarch
Beach Club of Dare|Monarch|NC|1|1|5|7895|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Davidson (Grimes Blvd)|Monarch|NC|1|1|14|28507|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Forsyth (Cherry Street)|Monarch|NC|1|2|49|84302|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Gaston (Court Drive)|Monarch|NC|1|2|26|40238|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Mecklenburg (Executive Center)|Monarch|NC|1|2|82|128319|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Nash (Tiffany Blvd)|Monarch|NC|1|1|17|30234|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Robeson (Godwin Avenue)|Monarch|NC|1|2|24|40787|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Scotland (McAlpine Lane)|Monarch|NC|1|1|3|6911|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Wake (Ashville Avenue)|Monarch|NC|1|1|6|8368|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Wake (Judd Parkway)|Monarch|NC|1|1|1|1315|561326126|'Monarch Consulting Services'|monarch
Behavioral Health-Wilson (Forest Hills Rd)|Monarch|NC|1|1|9|13699|561326126|'Monarch Consulting Services'|monarch
Bladen Opportunities Unlimited|Monarch|NC|1|1|7|8416|561326126|'Monarch Consulting Services'|monarch
Briar Creek Group Home|Monarch|NC|1|1|4|6264|561326126|'Monarch Consulting Services'|monarch
Brices Creek Road Group Home|Monarch|NC|1|1|15|21472|561326126|'Monarch Consulting Services'|monarch
Brighter Vision|Monarch|NC|1|1|2|4909|561326126|'Monarch Consulting Services'|monarch
Buffalo Creek Apartments|Monarch|NC|1|1|2|2996|561326126|'Monarch Consulting Services'|monarch
Campus Park Drive|Monarch|NC|1|1|3|5369|561326126|'Monarch Consulting Services'|monarch
Carmel Forest Drive Group Home|Monarch|NC|1|1|6|9432|561326126|'Monarch Consulting Services'|monarch
Cauthen Drive Group Home|Monarch|NC|1|1|4|7575|561326126|'Monarch Consulting Services'|monarch
Charlotte Street Group Home|Monarch|NC|1|1|4|8892|561326126|'Monarch Consulting Services'|monarch
Circle Drive Group Home|Monarch|NC|1|1|8|13074|561326126|'Monarch Consulting Services'|monarch
Circlewood Drive Group Home|Monarch|NC|1|1|8|14197|561326126|'Monarch Consulting Services'|monarch
Cohen House Group Home|Monarch|NC|1|1|6|10175|561326126|'Monarch Consulting Services'|monarch
Columbus Industries|Monarch|NC|1|1|13|19273|561326126|'Monarch Consulting Services'|monarch
Connecticut Avenue Group Home|Monarch|NC|1|1|6|10437|561326126|'Monarch Consulting Services'|monarch
Corvair Drive Group Home|Monarch|NC|1|1|4|7750|561326126|'Monarch Consulting Services'|monarch
Creative Arts and Community Center|Monarch|NC|1|2|57|90452|561326126|'Monarch Consulting Services'|monarch
Dogwood Circle Group Home|Monarch|NC|1|1|3|5802|561326126|'Monarch Consulting Services'|monarch
Dogwood House Group Home|Monarch|NC|1|1|17|26070|561326126|'Monarch Consulting Services'|monarch
East Main Group Home|Monarch|NC|1|1|7|11533|561326126|'Monarch Consulting Services'|monarch
Eklund Apartments|Monarch|NC|1|1|5|9053|561326126|'Monarch Consulting Services'|monarch
Forsyth Psychosocial Rehabilitation|Monarch|NC|1|1|5|7702|561326126|'Monarch Consulting Services'|monarch
George Street Group Home|Monarch|NC|1|1|3|6122|561326126|'Monarch Consulting Services'|monarch
Grand Oaks Apartments|Monarch|NC|1|1|2|2844|561326126|'Monarch Consulting Services'|monarch
Green Street Group Home|Monarch|NC|1|1|6|11838|561326126|'Monarch Consulting Services'|monarch
Greenwood AUP Center|Monarch|NC|1|1|8|14201|561326126|'Monarch Consulting Services'|monarch
Harnett Psychosocial Rehabilitation|Monarch|NC|1|1|3|5202|561326126|'Monarch Consulting Services'|monarch
Health Drive Center|Monarch|NC|1|2|13|17574|561326126|'Monarch Consulting Services'|monarch
Hoke County #1 Group Home|Monarch|NC|1|1|6|11659|561326126|'Monarch Consulting Services'|monarch
Hoke County #2 Group Home|Monarch|NC|1|1|5|8619|561326126|'Monarch Consulting Services'|monarch
Hope House Group Home|Monarch|NC|1|1|5|8916|561326126|'Monarch Consulting Services'|monarch
Jones County Group Home|Monarch|NC|1|1|7|12853|561326126|'Monarch Consulting Services'|monarch
Karen Lane Group Home|Monarch|NC|1|1|14|24980|561326126|'Monarch Consulting Services'|monarch
Kimberly Road Group Home|Monarch|NC|1|1|10|20624|561326126|'Monarch Consulting Services'|monarch
Lafayette Group Home|Monarch|NC|1|1|12|13937|561326126|'Monarch Consulting Services'|monarch
Lake Monroe Group Home|Monarch|NC|1|1|3|9913|561326126|'Monarch Consulting Services'|monarch
Lee Psychosocial Rehabilitation|Monarch|NC|1|1|1|2053|561326126|'Monarch Consulting Services'|monarch
Lighthouse Club of Currituck|Monarch|NC|1|1|3|5671|561326126|'Monarch Consulting Services'|monarch
Lillian Mill Administration Office|Monarch|NC|1|22|261|422632|561326126|'Monarch Consulting Services'|monarch
Mainstream Group Home|Monarch|NC|1|1|6|12838|561326126|'Monarch Consulting Services'|monarch
Mallard Lane Group Home|Monarch|NC|1|1|15|22552|561326126|'Monarch Consulting Services'|monarch
McAlway Road Group Home|Monarch|NC|1|1|4|8563|561326126|'Monarch Consulting Services'|monarch
Meadowview Group Home|Monarch|NC|1|1|14|21923|561326126|'Monarch Consulting Services'|monarch
Middleton Street Group Home|Monarch|NC|1|1|2|5592|561326126|'Monarch Consulting Services'|monarch
Montgomery Adult Group Home|Monarch|NC|1|1|5|8500|561326126|'Monarch Consulting Services'|monarch
Montgomery Community Living Skills|Monarch|NC|1|1|7|10857|561326126|'Monarch Consulting Services'|monarch
Moss I Group Home|Monarch|NC|1|1|11|18366|561326126|'Monarch Consulting Services'|monarch
Moss II Group Home|Monarch|NC|1|1|21|30422|561326126|'Monarch Consulting Services'|monarch
Mt. Gilead Children's Home|Monarch|NC|1|1|8|22735|561326126|'Monarch Consulting Services'|monarch
Myrtlewood Group Home|Monarch|NC|1|1|12|21177|561326126|'Monarch Consulting Services'|monarch
New Horizon Enterprises|Monarch|NC|1|1|10|12313|561326126|'Monarch Consulting Services'|monarch
New View Apartments|Monarch|NC|1|1|2|3739|561326126|'Monarch Consulting Services'|monarch
Newport Group Home|Monarch|NC|1|1|3|6278|561326126|'Monarch Consulting Services'|monarch
North 7th Street Group Home|Monarch|NC|1|1|4|9217|561326126|'Monarch Consulting Services'|monarch
