company_name|ein|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024|pitchbook_list_website|pitchbook_list_company_name|top100_company_name|nrca_list_company_name|affinity_organizations_20250915_141926_company_name|osha_company_name|stripped_company_name
B Graber & Sons LLC|271256120|0|0|34|0|0|0|0|65480|0|0||||||B Graber & Sons LLC|b graber & sons
B&B Sheet Metal Company Inc.||0|8|0|0|0|0|12000|0|0|0||||||B&B Sheet Metal Company Inc.|b & b sheet metal
B&L Sheet Metal and Roofing, Inc.|351144537|43|0|0|0|0|35102|0|0|0|0|www.blsheetmetalroofing.com|B&L Sheet Metal & Roofing||||B&L Sheet Metal and Roofing, Inc.|b & l sheet metal & roofing
B&L sheet metal and roofing A Tecta America Company|851411788|0|0|45|43|34|0|0|85946|83090|77944||||B&L Sheet Metal & Roofing a Tecta America Company||B&L sheet metal and roofing A Tecta America Company|b & l sheet metal & roofing a tecta america
B&M Construction of Rocky Mount, Inc|10844064|0|0|27|0|0|0|0|58246|0|0||||||B&M Construction of Rocky Mount, Inc|b & m construction of rocky mount
B-E Controls LLC|454536522|0|0|8|8|8|0|0|14069|8203|8357||||B-E Controls||B-E Controls LLC|b-e controls
B. Smith Roofing, Inc.|593818772|0|0|8|0|0|0|0|8306|0|0||||||B. Smith Roofing, Inc.|b. smith roofing
B.H.L. ENTERPRISES, INC.|952800826|42|52|58|156|102|84343|98667|110793|285722|180733||||||B.H.L. ENTERPRISES, INC.|b.h.l
BARRIOS ROOFING & WATERPROOFING, LLC.|844705722|0|4|0|0|0|0|2335|0|0|0||||||BARRIOS ROOFING & WATERPROOFING, LLC.|barrios roofing & waterproofing
BERGEN ENTERPRISES LLC|853903978|0|0|17|0|0|0|0|29004|0|0||||||BERGEN ENTERPRISES LLC|bergen
BEST Contracting Services Inc|953781209|611|592|0|0|0|1199687|1138584|0|0|0|||Best Contracting Services, Inc.|BEST Contracting Services Inc.||BEST Contracting Services Inc|best contracting
BFARR Enterprises, LLC|811201664|0|0|0|40|40|0|0|0|41603|27600||||||BFARR Enterprises, LLC|bfarr
BIG WAVE ROOFING AND SOLAR LLC|851323658|0|0|0|24|53|0|0|0|41630|62902||||||BIG WAVE ROOFING AND SOLAR LLC|big wave roofing & solar
BISCAYNE CONSTRUCTION COMPANY, INC.|650624971|45|38|37|62|48|96065|84175|82399|127148|87784||||||BISCAYNE CONSTRUCTION COMPANY, INC.|biscayne
BLACKMORE AND BUCKNER ROOFING A TECTA AMERICA COMPANY LLC||65|0|0|0|92|106495|0|0|0|178239||||Blackmore & Buckner Roofing a Tecta America Co. LLC||BLACKMORE AND BUCKNER ROOFING A TECTA AMERICA COMPANY LLC|blackmore & buckner roofing a tecta america
BLINDAUER SHEET METAL &  ROOFING INC|391050343|18|0|0|0|0|26964|0|0|0|0||||Blindauer Sheet Metal & Roofing Inc.||BLINDAUER SHEET METAL &  ROOFING INC|blindauer sheet metal & roofing
BM Roofing|010844064|25|27|0|0|0|52000|59347|0|0|0||||||BM Roofing|bm roofing
BONDED APPLICATORS INC.|231291914|0|15|16|16|16|0|31357|28374|28747|29236||||||BONDED APPLICATORS INC.|bonded applicators
BP Roofing Inc|331210689|0|0|0|24|0|0|0|0|39896|0||||||BP Roofing Inc|bp roofing
BPi Power|263695110|0|0|21|31|0|0|0|42840|20621|0||||||BPi Power|bpi power
BRIGHT HOME SOLAR, LLC|815408325|0|27|32|68|0|0|13393|76400|157244|0||||||BRIGHT HOME SOLAR, LLC|bright home solar
BUDDY'S ROOFING  REPAIRS, INC.|200687931|18|20|21|38|23|30893|34047|36703|65668|31240||||||BUDDY'S ROOFING  REPAIRS, INC.|buddy's roofing repairs
Bachman's Roofing, Building & Remodeling, Inc.|201810654|102|120|120|120|110|182433|236747|271332|277835|231437||||||Bachman's Roofing, Building & Remodeling, Inc.|bachman's roofing building & remodeling
Bailey Roofing Contractors, Inc.|421327245|50|47|52|61|53|84480|78832|78109|94011|91628|baileyroofing.com|Bailey Roofing Contractors||||Bailey Roofing Contractors, Inc.|bailey roofing
Baker Roofing|560130810|0|0|0|0|706|0|0|0|0|1472011|www.bakerroofing.com|Baker Roofing|Baker Roofing Company|Baker Roofing Co.||Baker Roofing|baker roofing
Banner Roofing & Construction|862294745|0|0|0|33|0|0|0|0|20800|0||||Banner Roofing & Construction||Banner Roofing & Construction|banner roofing
Barber & Associates, Inc & Roof Decks LLC|591795105|0|0|121|112|116|0|0|237322|241638|227388||||||Barber & Associates, Inc & Roof Decks LLC|barber & associates inc & roof decks
Barber and Associates Inc.||97|0|0|0|0|228070|0|0|0|0||||Barber & Associates Inc.||Barber and Associates Inc.|barber
Barr Roofing Company||0|0|34|0|0|0|0|76048|0|0||||Barr Roofing Co.||Barr Roofing Company|barr roofing
Barrett Inc.|60681058|0|0|0|81|0|0|0|0|150393|0||||Barrett Inc.||Barrett Inc.|barrett
Barry Roofing, Inc.|363881184|48|46|45|41|41|108486|83557|96579|76573|93832||||||Barry Roofing, Inc.|barry roofing
Bartch Roofing Co., Inc.|431132731|49|36|35|92|25|80795|48608|59489|127663|62495||||Bartch Roofing Co. Inc.||Bartch Roofing Co., Inc.|bartch roofing
Barth Roofing Company, Inc|710974022|0|0|0|30|30|0|0|0|69057|69739||||||Barth Roofing Company, Inc|barth roofing
Bartlett Homes & Roofing LLC|473524614|0|0|130|159|208|0|0|270400|330760|425640||||||Bartlett Homes & Roofing LLC|bartlett homes & roofing
Bastaldi Construction, LLC|454993905|20|22|0|0|0|21500|29189|0|0|0||||||Bastaldi Construction, LLC|bastaldi
Bates Roofing LLC|204619351|0|0|17|22|19|0|0|34883|34114|29782||||||Bates Roofing LLC|bates roofing
Beachside Roofing, LLC|611441824|0|0|0|0|151|0|0|0|0|207045||||Beachside Roofing LLC||Beachside Roofing, LLC|beachside roofing
Beaver Home Services LLC|831799436|0|25|50|0|0|0|29528|52000|0|0||||||Beaver Home Services LLC|beaver home
Belcher Roofing Corporation|232293264|84|81|70|67|69|130889|129898|113043|110568|113214||||||Belcher Roofing Corporation|belcher roofing
Beldon Roofing & Remodeling Co|741316691|0|156|147|138|147|0|370897|433907|430560|433725|www.beldon.com|Beldon Roofing & Remodeling||||Beldon Roofing & Remodeling Co|beldon roofing & remodeling
Bell Roof Co|951620634|29|26|31|37|42|44043|44951|51911|58767|71210||||Bell Roof Co.||Bell Roof Co|bell roof
Ben Hill Roofing and Siding Co|581085168|40|38|40|32|0|69546|80958|73879|60021|0||||Ben Hill Roofing & Siding Co. Inc.||Ben Hill Roofing and Siding Co|ben hill roofing & siding
Bennett & Brosseau Roofing, Inc.|363035239|0|0|104|116|0|0|0|197174|230539|0||||Bennett & Brosseau Roofing Inc.||Bennett & Brosseau Roofing, Inc.|bennett & brosseau roofing
Benton Integrity Roofing Systems|204918344|0|16|15|0|0|0|32000|30600|0|0||||||Benton Integrity Roofing Systems|benton integrity roofing
Benton Roofing Inc.|561804291|0|0|0|74|92|0|0|0|40|192629|||Benton Roofing|||Benton Roofing Inc.|benton roofing
Berwald Roofing Company, Inc.|410885923|0|205|222|189|220|0|342581|360210|316910|395542||||Berwald Roofing Co.||Berwald Roofing Company, Inc.|berwald roofing
Best Choice Roofing|272049688, 814545974, 831826285, 843147814, 852941114|0|0|0|0|155|0|0|0|0|6750|||Best Choice Roofing|||Best Choice Roofing|best choice roofing
Best Choice Roofing & Home Improvement|874123157|0|0|5|0|0|0|0|10000|0|0|www.bestchoiceroofing.com|Best Choice Roofing & Home Improvement||||Best Choice Roofing & Home Improvement|best choice roofing & home improvement
Best Environmental Systems Technology, Inc.|561344401|0|20|0|18|0|0|38175|0|16405|0||||||Best Environmental Systems Technology, Inc.|best environmental systems technology
Best Roofing Services, LLC||224|267|281|78|362|473675|711229|405396|117763|520120|www.bestroofing.net|Best Roofing||Best Roofing Company||Best Roofing Services, LLC|best roofing
Best Wash|208158495|22|0|0|0|0|45413|0|0|0|0||||||Best Wash|best wash
Beyond Roofing and Exterior Inc.|842006411|4|0|0|0|0|4223|0|0|0|0||||||Beyond Roofing and Exterior Inc.|beyond roofing & exterior
Bi-State Roof Systems, Inc.|431399821|21|18|0|17|16|27927|23080|0|23925|22299||||Bi-State Roof Systems Inc.||Bi-State Roof Systems, Inc.|bi-state roof
Bigfoot Roofing & Construction|452492305|0|0|30|23|22|0|0|72800|47840|45600|www.bigfootroofing.com|Bigfoot Roofing & Construction||||Bigfoot Roofing & Construction|bigfoot roofing
Bill Hamilton Roofing Inc.|203795052|78|84|86|99|111|164208|175636|178628|204725|230675||||||Bill Hamilton Roofing Inc.|bill hamilton roofing
Bill Shields Roofing, Inc.|591502277|40|36|40|39|0|65566|73452|87583|98266|0|billshieldsroofing.com|Bill Shields Roofing||||Bill Shields Roofing, Inc.|bill shields roofing
Bird & Bear Services, Inc.||0|0|11|11|11|0|0|19366|23059|24298||||||Bird & Bear Services, Inc.|bird & bear
Birdair, Inc.|161244477|18|15|20|30|40|28026|35382|50190|71132|84016||||||Birdair, Inc.|birdair
Birmingham & Associates, Inc.|631180911|0|44|0|67|61|0|92574|0|132368|120927||||||Birmingham & Associates, Inc.|birmingham
Bishop, Inc.|330948007|0|75|86|75|90|0|92083|92472|111616|107123||||||Bishop, Inc.|bishop
Black Hawk Roof Co.|421405570|53|53|50|58|55|137200|137200|138650|145000|129480||||Black Hawk Roof Co. Inc.||Black Hawk Roof Co.|black hawk roof
Black Hills Roofing|460415284|30|0|30|0|33|57720|0|46650|0|54080||||||Black Hills Roofing|black hills roofing
Black Roofing & Waterproofing||0|50|50|50|63|0|93014|95694|95905|124390||||||Black Roofing & Waterproofing|black roofing & waterproofing
Black Roofing Inc.|841096626|60|0|0|0|0|109173|0|0|0|0||||||Black Roofing Inc.|black roofing
Bloom Roofing Systems Inc.||98|104|111|120|98|208906|195801|206974|224068|188898||||Bloom Roofing Systems Inc.||Bloom Roofing Systems Inc.|bloom roofing
Blue Chip Roofing & Waterproofing, LLC|834489975|0|0|0|0|43|0|0|0|0|81551||||||Blue Chip Roofing & Waterproofing, LLC|blue chip roofing & waterproofing
Blue Frog Roofing||0|0|0|0|28|0|0|0|0|54880||||||Blue Frog Roofing|blue frog roofing
Blue Vision Roofing Inc|831022515|0|0|0|0|23|0|0|0|0|52748||||||Blue Vision Roofing Inc|blue vision roofing
BlueThread Services||0|0|173|70|0|0|0|449800|195250|0||||BlueThread Services||BlueThread Services|bluethread
Bluebird Construction, LLC|272160997|0|0|0|0|45|0|0|0|0|92002||||||Bluebird Construction, LLC|bluebird
Boak & Sons, Inc.|341368121|165|154|154|165|141|204268|245426|229301|238160|241700||||Boak & Sons Inc.||Boak & Sons, Inc.|boak & sons
Bob Hilson & Company inc.|591894854|0|43|0|0|0|0|82286|0|0|0||||Bob Hilson & Co. Inc.||Bob Hilson & Company inc.|bob hilson
Boggs Roofing, Inc.|550703992|18|14|0|0|0|33652|24062|0|0|0||||||Boggs Roofing, Inc.|boggs roofing
Bollinger Roofing Co Inc.||13|15|0|0|0|667|1429|0|0|0||||||Bollinger Roofing Co Inc.|bollinger roofing
Bone Dry Commercial Roofing, Inc.|850946832|0|0|126|136|83|0|0|277301|206476|130901||||||Bone Dry Commercial Roofing, Inc.|bone dry commercial roofing
Bone Dry Roofing Florida, Inc.|853199207|0|0|66|111|4|0|0|129207|255053|5335||||||Bone Dry Roofing Florida, Inc.|bone dry roofing florida
Bone Dry Roofing Inc|351883225|0|0|473|12|2|0|0|837517|7956|1280|bonedry.com|Bone Dry Roofing|Bone Dry Roofing|Bone Dry Roofing Inc.||Bone Dry Roofing Inc|bone dry roofing
Bone Dry Roofing, Colorado, Inc.|850896420|0|0|15|19|11|0|0|18023|23457|11329||||||Bone Dry Roofing, Colorado, Inc.|bone dry roofing colorado
Boone Brothers Roofing|352166626, 352197691|130|170|170|80|80|219586|193710|161833|158604|151111||||||Boone Brothers Roofing|boone brothers roofing
Borsche Roofing Professionals Inc|202357906|0|0|0|20|16|0|0|0|24494|28628||||||Borsche Roofing Professionals Inc|borsche roofing professionals
Bowen & Son Roofing, Inc.|591450150|19|0|0|0|0|35959|0|0|0|0||||||Bowen & Son Roofing, Inc.|bowen & son roofing
Bowhead Construction, LLC|833681354|6|7|0|22|34|10976|14000|0|16361|41785||||||Bowhead Construction, LLC|bowhead
Boyce's Roofing & Repair|812361795|0|0|0|20|40|0|0|0|29241|64604||||Boyce's Roofing and Repair||Boyce's Roofing & Repair|boyce's roofing & repair
Brady Roofing|527255153|0|0|0|38|0|0|0|0|74898|0||||||Brady Roofing|brady roofing
Brandle Roofing and Sheet Metal|382446283|30|30|0|0|23|51542|54168|0|0|47381||||Brandle Roofing & Sheet Metal Co.||Brandle Roofing and Sheet Metal|brandle roofing & sheet metal
Bray Sheet Metal|710218670|0|0|0|35|0|0|0|0|64251|0||||||Bray Sheet Metal|bray sheet metal
Brayden Roofing Specialists LLC|352677988|0|0|0|10|0|0|0|0|18720|0||||||Brayden Roofing Specialists LLC|brayden roofing specialists
Brazos Commercial Roofing|821863311|17|22|25|25|29|34019|46790|47472|58930|58951||||Brazos Commercial Roofing LLC||Brazos Commercial Roofing|brazos commercial roofing
Brazos Industries LLC|203939819|10|12|0|0|0|19683|22403|0|0|0||||||Brazos Industries LLC|brazos
Brazos Thermals Systems Inc.|853600645|0|0|0|0|47|0|0|0|0|75200||||||Brazos Thermals Systems Inc.|brazos thermals
Brazos Urethane Inc.|742466058|140|120|116|140|165|289755|238904|252738|335783|380067||||Brazos Urethane Inc||Brazos Urethane Inc.|brazos urethane
Broken Arrow INC|870302821|0|0|0|26|0|0|0|0|53216|0||||||Broken Arrow INC|broken arrow
Browns Architectural Sheetmetal, Inc.|931031667|18|15|0|0|0|37902|40444|0|0|0||||||Browns Architectural Sheetmetal, Inc.|browns architectural sheetmetal
Bruns Construction Enterprises, Inc.||30|0|0|0|0|70187|0|0|0|0||||||Bruns Construction Enterprises, Inc.|bruns
Buck Roofing & Construction, LLC.|431926624|41|46|0|40|48|82745|97852|0|88558|90771||||Buck Roofing & Construction LLC||Buck Roofing & Construction, LLC.|buck roofing
Buckley Roofing Company, Inc|480777772|0|62|67|71|0|0|125179|137503|159638|0||||Buckley Roofing Co. Inc.||Buckley Roofing Company, Inc|buckley roofing
Building Envelope Solutions|921500237|0|0|0|0|40|0|0|0|0|58881||||Building Envelope Contractors Inc.||Building Envelope Solutions|building envelope
Building Technicians Corporation|341187227|0|0|0|26|23|0|0|0|39748|36993||||Building Technicians Corporation||Building Technicians Corporation|building technicians
Bulldog Sales LLC dba Bulldog Roofing|474528029|0|21|33|0|41|0|840|66000|0|82000||||||Bulldog Sales LLC dba Bulldog Roofing|bulldog sales llc dba bulldog roofing
Burner Sheet Metal, LLC||0|54|0|0|0|0|108915|0|0|0||||||Burner Sheet Metal, LLC|burner sheet metal
Burns and Scalo Roofing Company|251145220|118|60|69|63|64|142465|238160|143456|126410|115156|||Burns & Scalo Roofing|||Burns and Scalo Roofing Company|burns & scalo roofing
Burns and Scalo Roofing Ohio|621827083|31|18|25|35|45|37338|37081|53597|70901|78203||||||Burns and Scalo Roofing Ohio|burns & scalo roofing ohio
C & C Roofing & Supply, Inc.|860432684|30|0|78|42|35|50657|0|79804|43933|47936||||||C & C Roofing & Supply, Inc.|c & c roofing & supply
C & S Residential Roofing, Inc|200166812|0|0|32|0|0|0|0|62263|0|0||||||C & S Residential Roofing, Inc|c & s residential roofing
C & S Roofing Company|592009879|0|0|0|84|85|0|0|0|222588|219638||||C&S Roofing||C & S Roofing Company|c & s roofing
C&N Siding and Gutters|921346594|0|0|0|0|100|0|0|0|0|85992||||||C&N Siding and Gutters|c & n siding & gutters
C.E. Bourne & Co., Inc.|570781688|70|60|0|60|0|120398|104095|0|106455|0||||C.E. Bourne & Co. Inc.||C.E. Bourne & Co., Inc.|c.e. bourne
C.G.R. CONSTRUCTION CO. INC.|650654971|0|0|19|78|45|0|0|1713|158640|91256||||||C.G.R. CONSTRUCTION CO. INC.|c.g.r
C.L. Schust Company, Inc.|352134384|46|0|0|0|0|80741|0|0|0|0||||||C.L. Schust Company, Inc.|c.l. schust
C.O. Beck & Sons|10246859|0|0|22|21|0|0|0|35000|35000|0||||C.O. Beck & Sons Inc.||C.O. Beck & Sons|c.o. beck & sons
C.R.M., Inc.|341669889|49|44|44|39|43|88304|88304|81300|74055|77966||||||C.R.M., Inc.|c.r.m
C234 Inc|453219286|0|0|0|0|29|0|0|0|0|23507||||||C234 Inc|c234
CABLE STRONG ENTERPRISES, LLC|463992960|18|17|0|32|29|19756|32215|0|62386|48908||||||CABLE STRONG ENTERPRISES, LLC|cable strong
CAMBER BRANDS LLC|883819653|0|0|31|76|23|0|0|16798|130544|41538||||||CAMBER BRANDS LLC|camber brands
CAMCO ROOFING|620851169, 620981218|0|0|0|98|0|0|0|0|174145|0||||||CAMCO ROOFING|camco roofing
CANNELLA ROOFING, INC.|223648844|0|17|0|0|0|0|27863|0|0|0||||||CANNELLA ROOFING, INC.|cannella roofing
CARDINAL ROOFING, INC.|431981484|0|0|39|38|0|0|0|81151|69262|0||||Cardinal Roofing Inc.||CARDINAL ROOFING, INC.|cardinal roofing
CARIBBEAN ROOFING  CONSTRUCTION INC.|200761479|20|12|9|40|22|20794|17943|12969|35018|12730||||||CARIBBEAN ROOFING  CONSTRUCTION INC.|caribbean roofing
CATALINA ROOFING AND SUPPLY,INC|860614329|42|0|0|0|0|67172|0|0|0|0||||||CATALINA ROOFING AND SUPPLY,INC|catalina roofing & supplyinc
CATHEDRAL ROOFING INNOVATIONS, INC.|260971243|0|0|12|0|0|0|0|13870|0|0||||||CATHEDRAL ROOFING INNOVATIONS, INC.|cathedral roofing innovations
CB ROOFING CONSTRUCTION INC.|271187783|0|0|30|50|0|0|0|38424|80498|0|cbroofingsalisbury.co.uk|Cb Roofing Services||||CB ROOFING CONSTRUCTION INC.|cb roofing
CCA Contracting Group|824585882|0|0|0|60|47|0|0|0|110671|87142||||||CCA Contracting Group|cca contracting
CCA Roofing Corp|873374148|0|0|0|0|20|0|0|0|0|10961||||||CCA Roofing Corp|cca roofing
CEI MICHIGAN LLC|203259536|110|110|110|110|129|205004|198830|161382|192022|228157||||||CEI MICHIGAN LLC|cei michigan
CENTRAL ROOFING LLC|454310902|0|0|0|0|61|0|0|0|0|122539|www.centralroofing.co.uk|Central Roofing||Central Roofing LLC||CENTRAL ROOFING LLC|central roofing
CFS Roofing Services, LLC|271044026|0|247|0|0|0|0|432000|0|0|0|www.cfsroofing.com|CFS Roofing Services||CFS Roofing Services||CFS Roofing Services, LLC|cfs roofing
CG ROOFING GROUP LLC||0|0|40|96|0|0|0|56160|149160|0||||||CG ROOFING GROUP LLC|cg roofing
CHERRY ROOFING INC|201148322|0|0|0|41|35|0|0|0|72140|68361||||Cherry Roofing Enterprises Inc.||CHERRY ROOFING INC|cherry roofing
CHM Contracting LLC|273920333|0|0|0|52|0|0|0|0|66240|0||||||CHM Contracting LLC|chm contracting
CHRIS ANDERSEN ROOFING, A TECTA AMERICA COMPANY, LLC|841987343|79|78|78|79|153|142499|132649|135970|145231|144351||||Chris Andersen Roofing a Tecta America Company||CHRIS ANDERSEN ROOFING, A TECTA AMERICA COMPANY, LLC|chris andersen roofing a tecta america
CIRSCO,  Commercial Industrial Roof Services Company, Inc.|510426839|39|29|24|23|11|48707|48165|48884|42440|18365||||||CIRSCO,  Commercial Industrial Roof Services Company, Inc.|cirsco commercial industrial roof
CL Burks Construction- Commercial Roofing Contractors, LLC|273203938|0|0|0|113|0|0|0|0|257249|0||||||CL Burks Construction- Commercial Roofing Contractors, LLC|cl burks construction- commercial roofing
CLEAN ROOFING|822725602|0|0|0|0|49|0|0|0|0|81203||||||CLEAN ROOFING|clean roofing
CMG dba Architectural Metals|391430322|0|0|0|26|0|0|0|0|42792|0||||||CMG dba Architectural Metals|cmg dba architectural metals
CMR Construction and Roofing|710873844|161|112|190|408|87|334880|126404|383534|815266|174951|www.cmrconstruction.com|CMR Construction & Roofing||CMR Construction & Roofing||CMR Construction and Roofing|cmr construction & roofing
COASTAL ROOFING SOLUTIONS, LLC|853054708|0|0|0|34|0|0|0|0|3880|0|coastalrga.com|Coastal Roofing Services||Coastal Roofing Solutions, LLC||COASTAL ROOFING SOLUTIONS, LLC|coastal roofing
COBICA international Corp||0|0|0|0|60|0|0|0|0|43881||||||COBICA international Corp|cobica
COMMAND ROOFING||0|0|35|0|0|0|0|36747|0|0||||Command Roofing Co.||COMMAND ROOFING|command roofing
COMMERCIAL INDUSTRIAL ROOFING, INC|911086335|54|64|0|0|0|112369|141915|0|0|0||||Commercial Industrial Roofing Inc||COMMERCIAL INDUSTRIAL ROOFING, INC|commercial industrial roofing
COMMERCIAL ROOFING LLC|850457633|0|0|41|42|37|0|0|82951|78389|74947|aquagard-roofing.co.uk|Commercial Roofing Services||Commercial Roofing Systems Inc.||COMMERCIAL ROOFING LLC|commercial roofing
COMMONWEALTH ROOFING CORP|610995786|29|0|0|0|0|60228|0|0|0|0||||Commonwealth Roofing Corp.||COMMONWEALTH ROOFING CORP|commonwealth roofing
COMPLETE ROOFING SOLUTIONS OF FLORIDA, LLC.|811249507|0|0|11|0|0|0|0|15022|0|0||||||COMPLETE ROOFING SOLUTIONS OF FLORIDA, LLC.|complete roofing solutions of florida
CONSTRUCTION METAL SERVICES LLC|933411168|0|0|0|6|15|0|0|0|3602|30526||||||CONSTRUCTION METAL SERVICES LLC|construction metal
CP Rankin, Inc.|260311486|87|95|101|95|95|219115|239274|190734|189420|185420|||CP Rankin, Inc.|||CP Rankin, Inc.|cp rankin
CRAWFORD ROOFING INC.|730951924|29|27|73|75|41|26063|3078125|5094450|73260|52121||||Crawford Roofing Inc.||CRAWFORD ROOFING INC.|crawford roofing
CRM South, Inc.|464899617|36|0|0|0|0|60066|0|0|0|0||||||CRM South, Inc.|crm south
CROSS ATLANTIC SOLAR LLC|823300127|13|18|0|0|0|22865|31771|0|0|0||||||CROSS ATLANTIC SOLAR LLC|cross atlantic solar
CROWN ROOFING||7|6|6|5|0|11081|10087|9139|6869|0||||||CROWN ROOFING|crown roofing
CROWTHER ROOFING SERVICES, LLC|452517935|0|0|0|16|0|0|0|0|20904|0||||||CROWTHER ROOFING SERVICES, LLC|crowther roofing
CSR Roofing Contractors, Inc.||0|0|50|49|51|0|0|74529|71935|73875||||||CSR Roofing Contractors, Inc.|csr roofing
CYE Enterprises Inc|770635487|0|0|0|0|22|0|0|0|0|36652||||CYE Enterprises Inc.||CYE Enterprises Inc|cye
Cairo Builder, Inc.|843645900|0|0|0|25|25|0|0|0|22000|11580||||||Cairo Builder, Inc.|cairo builder
California Construction & Roofing inc|330886811|0|0|33|33|0|0|0|68996|68000|0||||||California Construction & Roofing inc|california construction & roofing
California Premier Roofscapes Inc.|263936399|120|0|0|0|0|274944|0|0|0|0||||||California Premier Roofscapes Inc.|california premier roofscapes
Campany Roof Maintenance LLC|270278579|0|43|35|25|25|0|100888|86063|41674|45880||||Campany Roof Maintenance LLC||Campany Roof Maintenance LLC|campany roof maintenance
Campany Roof Maintenance Roofing Division LLC|472451226|0|99|94|68|70|0|208095|201265|112194|140291||||||Campany Roof Maintenance Roofing Division LLC|campany roof maintenance roofing division
Campbell Beard Roofing, Inc.|841297228|0|36|0|0|0|0|87800|0|0|0||||Campbell Beard Roofing Inc.||Campbell Beard Roofing, Inc.|campbell beard roofing
