company_name|ein|stripped_company_name|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024
Grizzly Roofing LLC|842125236|grizzly roofing|0|0|0|20|0|0|0|0|29000|0
Grove Roofing Services, Inc.||grove roofing|88|0|0|0|0|132515|0|0|0|0
Gryphon Companies, Inc|860920057|gryphon companies|45|51|49|38|37|98000|106080|101520|61123|57720
GSM Roofing|232553249|gsm roofing|92|109|102|204|101|196983|231257|197551|420390|195578
GSM Services|560883987|gsm|460|236|243|270|267|917198|417999|471097|561600|554840
GTO Construction, Inc|815373124|gto|0|5|0|0|0|0|8168|0|0|0
Guarantee Roofing & Sheet Metal of SD, Inc.||guarantee roofing & sheet metal of sd|0|0|0|55|55|0|0|0|141889|154681
Guarantee Roofing & Sheet Metal, Inc.|470696991|guarantee roofing & sheet metal|28|28|28|27|0|45625|39572|47372|54231|0
Guardian Roofing, Gutters & Insulation|814469822|guardian roofing gutters & insulation|75|85|0|0|126|165459|168385|0|0|86816
Gulf Coast Roofing Co., Inc|591642967|gulf coast roofing|43|39|33|32|36|56514|47247|42388|44582|52031
Gulfstream Roofing, Inc.|591824838|gulfstream roofing|26|0|0|0|0|43680|0|0|0|0
GUNTER CONSTRUCTION ROOFING, INC.|611065364|gunter construction roofing|34|31|33|33|0|69294|64837|66321|65724|0
Gunton Corporation|340766218|gunton|0|0|0|0|117|0|0|0|0|238160
Gustafson Industries Inc|592741607|gustafson|30|30|30|35|43|65979|67955|65002|80579|98920
Gutier LLC|472318149|gutier|34|54|23|27|0|70190|111493|46110|54085|0
Guy Roofing|208994230|guy roofing|0|131|118|131|124|0|295310|259096|280791|277810
Guyette Roofing and Construction|462720062|guyette roofing|0|0|0|39|38|0|0|0|91520|88920
Gwaltney, LLC|480883612|gwaltney|60|41|0|0|0|110845|83365|0|0|0
Gwaltney, LLC d/b/a Diamond Roofing|832080398|gwaltney llc d/b/a diamond roofing|0|0|0|90|0|0|0|0|173342|0
H & H Industrial|272492943|h & h industrial|0|0|0|11|11|0|0|0|16231|16204
H & H Metal|721144669|h & h metal|0|34|29|23|21|0|45636|43199|34805|31168
H K Griffith Inc|510328461|h k griffith|46|42|39|39|37|101244|83265|93949|80863|83675
H Mac Roofing, Inc.|813795442|h mac roofing|0|0|0|0|20|0|0|0|0|31835
H&E Roofing & Sheet Metal Construction|371961501|h & e roofing & sheet metal|0|0|0|0|16|0|0|0|0|25720
H&S Building Material, LP|432091516|h & s building material|0|0|16|39|44|0|0|26215|61254|83783
H. Klein & Sons, Inc.|110959930|h. klein & sons|14|0|0|0|0|20861|0|0|0|0
Haeber Roofing Company|741995512|haeber roofing|40|38|33|36|38|83820|77297|66174|74855|80760
Hale Contracting, Inc.|161513772|hale contracting|0|82|90|84|98|0|122200|128581|127081|161860
Hamilton Roofing Inc||hamilton roofing|31|37|30|40|0|57986|30450|51155|75460|0
Handyman Home Repair Service of Pinellas Inc|593307835|handyman home repair service of pinellas|0|0|175|178|0|0|0|180066|231594|0
Hanley Construction|911620989|hanley|46|0|47|47|45|8760|0|102416|103032|92333
Hannabri Services Inc|205668104|hannabri|0|0|0|0|63|0|0|0|0|150594
Hanson Services|862576771|hanson|0|0|0|6|0|0|0|0|746|0
HARBOR ROOFING and CONTRACTING INC|464705635|harbor roofing & contracting|91|90|91|75|80|130319|120527|134189|123113|108660
Harbor Roofing and Waterproofing Inc.|843468576|harbor roofing & waterproofing|0|55|0|0|0|0|35195|0|0|0
Harborside Restoration, Inc.||harborside restoration|0|2|0|0|0|0|1952|0|0|0
Hargrove Roofing LLC|822688042|hargrove roofing|0|0|46|0|0|0|0|85644|0|0
HARNEFL, LLC|853485931|harnefl|0|31|36|0|0|0|18334|72040|0|0
Harness Roofing Inc.|710654212|harness roofing|11|8|8|7|11|22428|4929|15822|9889|24244
Harold E. Shuck, Inc.|344424253|harold e. shuck|0|0|0|0|25|0|0|0|0|30475
Harold J. Becker Company, Inc.|310621952|harold j. becker|68|54|48|67|65|118147|99480|90913|128361|121013
Harris Brothers Roofing Company|550365966|harris brothers roofing|36|39|36|36|33|67543|78853|67787|69602|69357
HARSEGA, LLC|862856933|harsega|0|0|34|0|0|0|0|44630|0|0
Hartford South, LLC||hartford south|104|82|75|102|94|159999|148465|141099|138658|238160
Hasheider Roofing & Siding, Ltd.|391479606|hasheider roofing & siding|0|0|0|25|0|0|0|0|45092|0
Hayden Building Maintenance Corp.|133152634|hayden building maintenance|73|42|0|0|0|85289|75040|0|0|0
HC NATIONWIDE LLC|300632487|hc nationwide|30|30|33|35|30|31521|30862|42262|32907|43807
HD ROOFING  SOLAR, LLC.|822368213|hd roofing solar|62|0|0|114|42|79331|0|0|210258|64366
Headlee Roofing Co., Inc.|860493494|headlee roofing|0|75|74|0|66|0|139000|139855|0|135040
Heartland Roofing, Siding and Windows, LLC|464563184|heartland roofing siding & windows|0|0|0|28|0|0|0|0|53668|0
Hegarty Corp|853579759|hegarty|0|0|0|0|11|0|0|0|0|20716
Heidler Roofing LLC|934201538|heidler roofing|0|0|0|0|58|0|0|0|0|108628
Henderson Roofing|922656743|henderson roofing|0|0|0|0|44|0|0|0|0|45499
HENRIS SUPPLY INC|941558409|henris supply|0|0|22|27|22|0|0|34409|45962|33955
Henson Robinson Company|370680340|henson robinson|0|170|0|0|0|0|327989|0|0|0
Heritage One Roofing, Inc.|752916997|heritage one roofing|95|70|0|105|108|210243|121500|0|281440|321586
Hertless Brothers Roofing, Inc.|202009976|hertless brothers roofing|20|20|20|20|17|36136|35748|37480|31699|29682
Herzog Roofing|411380767|herzog roofing|96|85|81|96|93|204148|188276|203505|205533|200747
Hicks Roofing|340764898|hicks roofing|33|0|33|22|24|47346|0|41972|34304|32959
High Desert Roofing, Inc.|850448418|high desert roofing|0|0|30|0|40|0|0|33400|0|48589
High Quality Roofing, Co|843818650|high quality roofing|0|0|0|0|36|0|0|0|0|54317
High Tower Roofing|455365826|high tower roofing|59|61|58|117|74|92679|91544|116339|41074|38541
Highland Commercial Roofing NorCal, LLC|262593390|highland commercial roofing norcal|0|21|25|38|43|0|41336|50711|76339|85926
Highland Commercial Roofing PNW, LLC|821972076|highland commercial roofing pnw|0|0|0|7|13|0|0|0|14213|26828
Highland Roofing Company||highland roofing|39|51|57|171|76|78357|87165|109132|345044|147533
Hinkle Roofing Products, Inc|631211070|hinkle roofing products|21|20|22|22|0|43680|41600|45760|45760|0
HIS Comp LLC|300938635|his comp|0|0|19|20|28|0|0|27130|30848|34700
Hite Roofing|521437805|hite roofing|30|28|24|31|26|56075|45987|44391|48147|42141
HOBS Industrial Roofing & Sheet Metal|203344990|hobs industrial roofing & sheet metal|0|0|0|33|0|0|0|0|33055|0
Holland Roofing Group|311551993|holland roofing|0|0|52|45|0|0|0|104961|94171|0
Holland Roofing of Columbus|611288761|holland roofing of columbus|0|0|32|0|16|0|0|63562|0|34369
Holland Roofing SPD|061691050|holland roofing spd|0|0|0|0|53|0|0|0|0|111659
Holt Roofing Company|341283297|holt roofing|0|19|19|22|0|0|29704|36000|34000|0
Holthaus Companies, Inc.|204920877|holthaus companies|0|21|16|11|20|0|29136|24221|24098|25697
Home Evolution Roofing LLC|472906667|home evolution roofing|0|0|0|40|0|0|0|0|67400|0
Home Pride Contractors, Inc|465538598|home pride|0|0|0|0|36|0|0|0|0|64424
Horch Roofing, Inc.|272039379|horch roofing|0|0|56|0|0|0|0|105472|0|0
Horizon Roofing, Inc|411765296|horizon roofing|0|0|0|145|147|0|0|0|283112|234807
Horn Brothers Roofing Inc|203266095|horn brothers roofing|0|0|0|0|20|0|0|0|0|37948
Hotline Exchange Inc. DBA Hirschi Roofing and Insulation|870478688|hotline exchange inc. dba hirschi roofing & insulation|0|0|0|0|32|0|0|0|0|65950
Houck Services,, Inc.|232018670|houck|250|320|280|320|140|362233|435845|413021|453999|296582
Howard and Sons, Inc|475580926|howard & sons|0|0|30|30|40|0|0|47055|57000|76000
Howard Roofing Company, Inc.|953902188|howard roofing|90|95|96|100|100|196434|189435|186492|221097|234598
Howe Contracting LLC|581790626|howe contracting|0|39|49|36|48|0|78000|101920|69120|99840
HRT Roofing & Construction, Inc.|742944379|hrt roofing|0|0|22|0|0|0|0|43702|0|0
HUDSON CONTRACTING, LLC|830631529|hudson contracting|0|0|0|0|20|0|0|0|0|22000
Hudson Valley Roofing and Sheet Metal, Inc.|030500181|hudson valley roofing & sheet metal|85|65|0|0|0|118722|99950|0|0|0
Hugh MacDonald Construction|593052562|hugh macdonald|0|0|0|0|16|0|0|0|0|39294
HW Contracting, LLC|450890741|hw contracting|0|0|21|22|21|0|0|43596|43596|46805
Hy-Tech Roofing Services, Inc.|720980063|hy-tech roofing|17|0|0|0|0|29551|0|0|0|0
Hyde Sheet Metal||hyde sheet metal|0|40|34|0|0|0|47631|59623|0|0
HYLKEMA ROOFING|952789166|hylkema roofing|0|0|0|0|128|0|0|0|0|275391
Hytech LLC|203342300|hytech|0|0|52|0|0|0|0|106438|0|0
Hytech Roofing, INC|911202974|hytech roofing|0|0|52|62|62|0|0|106438|90681|97800
IBEX Roof|473755022|ibex roof|25|0|0|0|0|39837|0|0|0|0
Icon Custom Construction Services, Inc.|113583433|icon custom|0|0|22|25|27|0|0|33944|43848|46701
Idaho Roofing Contractors, Inc|203941338|idaho roofing|0|20|23|19|22|0|34239|112540|37534|42320
Ideal Building Solutions|271966870|ideal building|0|0|57|60|0|0|0|115408|131316|0
IMPERIAL ROOFING COMPANY LLC|862227691|imperial roofing|0|17|0|0|0|0|5910|0|0|0
Independent Roofing Company Inc|470410807|independent roofing|0|0|31|0|35|0|0|49088|0|48376
Industrial Energy Systems, Inc.|341389634|industrial energy|35|31|27|30|0|49584|43667|45060|36874|0
Industrial First, Inc.||industrial first|0|0|139|0|0|0|0|270654|0|0
Industrial Roofing & Siding Co|203476457|industrial roofing & siding|91|88|0|0|0|185243|173643|0|0|0
Industrial roofing and Construction|263233376|industrial roofing|74|69|75|130|100|179914|195140|169226|290775|181339
Industrial Solutions Group||industrial|0|0|0|0|11|0|0|0|0|19363
Infinity Exteriors LLC||infinity exteriors|0|0|0|3|2|0|0|0|6240|4160
Infinity Home Services Acquisition, LLC|920435090|infinity home services acquisition|0|0|89|108|110|0|0|38205|183803|198102
Infinity Home Services, LLC|872247013|infinity home|0|0|0|0|47|0|0|0|0|97760
INFINITY METAL SYSTEMS, INC|811987602|infinity metal|25|22|22|25|25|55900|56900|45760|46000|54200
Infinity Roofing and Sheet Metal, Inc(POMPANO BEACH) - CBRE|562591602|infinity roofing & sheet metal inc - cbre|64|0|67|63|72|149281|0|152101|151001|159499
Infinity Roofing, LLC|854239518|infinity roofing|0|0|15|8|0|0|0|14607|16640|0
Innovative Maintenance, LLC|464619644|innovative maintenance|29|0|0|0|0|39948|0|0|0|0
Innovative Roofing Group|824515027|innovative roofing|0|0|0|38|65|0|0|0|45254|155000
Inspirium Health, LLC|881067424|inspirium health|0|0|0|35|0|0|0|0|61710|0
Integrity Painting, Inc.|830338970|integrity painting|0|24|32|34|47|0|72856|87220|99171|141046
Intermountain West Contractors|450497447|intermountain west|32|0|38|13|14|41023|0|79040|26936|24878
International Roofing Corporation|541500362|international roofing|25|28|27|24|24|37162|49202|42282|44157|45271
Interstate Roofing and Waterproofing, Inc.|391138482|interstate roofing & waterproofing|90|76|76|73|77|73644|138174|131535|130444|49789
Interstate Roofing Company Inc.|930963870|interstate roofing|59|59|34|0|30|106724|106606|78489|0|82319
IPR Construction, LLC|834368956|ipr|0|0|0|11|9|0|0|0|20960|18230
IRG Ventures, LLC dba Innovative Roofing Group|823627066|irg ventures llc dba innovative roofing|57|0|0|0|0|126009|0|0|0|0
Irish Roofing of Michigan, LLC|873805090|irish roofing of michigan|0|0|0|43|54|0|0|0|89440|76888
IronShore Contracting|383758816|ironshore contracting|64|0|52|65|76|128987|0|60432|101514|150139
J & J Roofing Company|752696353|j & j roofing|91|82|75|0|0|204342|178106|180870|0|0
J & P Roofing Inc|841123042|j & p roofing|0|13|0|0|0|0|22794|0|0|0
J & S Rooding|823138310|j & s rooding|0|0|0|17|0|0|0|0|35240|0
J A Piper Roofing Co|570227230|j a piper roofing|57|54|51|55|0|111580|103866|238160|105586|0
J Reynolds & Co., A Tecta America Company, LLC.|854217507|j reynolds & co. a tecta america|0|127|125|0|0|0|282640|268300|0|0
J S Construction Association Inc|901073744|j s construction association|0|0|0|15|0|0|0|0|31200|0
J Smegal Contracting LLC|832306626|j smegal contracting|0|0|0|21|31|0|0|0|47250|60573
J Sutter Enterprises LLC|900414736|j sutter|36|34|0|42|40|57309|61408|0|64621|18783
J&B Installations, Inc.|161160437|j & b installations|0|56|72|82|81|0|102092|100759|118913|94352
J&L LFG, LCC d/b/a Cherry Roofing and Siding|922575487|j & l lfg lcc d/b/a cherry roofing & siding|0|0|0|0|43|0|0|0|0|68810
J&M Residential Services, LLC|474292969|j & m residential|0|0|17|0|0|0|0|30000|0|0
J.D. Miles & Sons Inc|540623631|j.d. miles & sons|28|24|25|27|25|45722|42639|47292|50123|45171
J.D. Rivet & Co., Inc|42469878|j.d. rivet|0|0|71|78|0|0|0|155202|129354|0
J.L. Adler Roofing & Sheet Metal, Inc.|362302162|j.l. adler roofing & sheet metal|55|57|58|56|56|93163|91963|102522|96872|105687
J.M. Young & Sons, Inc.|231402276|j.m. young & sons|36|30|0|29|32|41841|41812|0|48805|51704
J.R.Swigart Co Inc|911683805|j.r.swigart|12|0|4|33|0|23085|0|7169|33044|0
J.Wilhelm Roofing Co. Inc.|223559074|j.wilhelm roofing|22|22|35|15|0|29671|36736|18043|10000|0
J3 Construction Inc.|364145411|j3|0|0|0|115|135|0|0|0|215040|99384
Jack C Wilson Roofing Co|593015233|jack c wilson roofing|37|30|33|35|42|55476|72538|68726|69695|82805
Jack the Roofer, Inc.|651294585|jack the roofer|7|0|0|0|0|14820|0|0|0|0
James R. Walls Contracting Company, LLC|521085544|james r. walls contracting|56|41|43|42|44|91493|50187|77993|81605|80605
JAMES ROOFING SERVICES, INC.|263135009|james roofing|30|28|28|54|25|45361|44070|43992|82226|36374
Jameson Roofing Co., Inc.|160495270|jameson roofing|54|53|44|49|46|127509|103825|86060|104274|86477
Jamestown Roofing, Inc.|160763355|jamestown roofing|0|0|35|37|0|0|0|44292|50922|0
Janney Roofing|883485181|janney roofing|0|0|0|100|100|0|0|0|416000|416000
Jasper Contractors, Inc.|462532605|jasper|276|87|70|0|0|150308|4502|134044|0|0
JB Roofing a Tecta America Company LLC|814397282|jb roofing a tecta america|68|87|79|79|54|119789|153369|133248|133760|110853
JBC Roofing LLC|931134079|jbc roofing|18|0|25|25|20|37440|0|50000|60000|60000
JBK Contracting|852070807|jbk contracting|0|0|0|56|0|0|0|0|160162|0
JD Candler Roofing Co., Inc.|380397650|jd candler roofing|95|103|0|119|0|172523|186856|0|196545|0
JDH Company||jdh|70|60|55|70|65|171000|132379|162333|172103|151837
Jeff Eubank Roofing|752250258|jeff eubank roofing|0|56|61|70|76|0|198186|140113|158425|177583
Jewett Enterprises LLC dba Jewett Roofing Company LLC|273858848|jewett enterprises llc dba jewett roofing|10|0|0|0|0|14118|0|0|0|0
JG Roofing Company ATX , LLC.|845145034|jg roofing company atx|0|0|0|9|0|0|0|0|3500|0
JHS Restoration, Inc.|272097915|jhs restoration|18|20|18|22|22|39047|30946|32214|34663|36031
Ji Construction, inc DBA: Valley Roofing & Exteriors|471602643|ji construction inc dba: valley roofing & exteriors|34|0|34|9|0|67602|0|67550|27334|0
Jim Brown & Sons Roofing Co Inc.|860482466|jim brown & sons roofing|83|70|66|70|75|155764|132775|127809|138048|144146
Jim Fisher Roofing & Construction, Inc.|930867107|jim fisher roofing|67|62|66|69|69|134641|116162|124249|133401|132436
Jim Murray Roofing, Inc.|814059502|jim murray roofing|0|40|40|47|45|0|74961|72369|89333|93600
Jimmy's Roofing|753200711|jimmy's roofing|0|0|47|0|63|0|0|80144|0|114253
Jireh, Inc.|770582888|jireh|0|60|58|60|68|0|120000|112618|103900|85823
JMC Construction LLC dba JMC Roofing|464525710|jmc construction llc dba jmc roofing|0|30|28|0|0|0|19968|24931|0|0
JMH Roofing Co., Inc.|352115998|jmh roofing|10|15|15|28|28|22918|36331|47705|60815|61339
John A. Dalsin & Son, Inc.|411408661|john a. dalsin & son|74|58|75|83|79|118794|95068|127537|151216|142092
John F Shea Co Inc||john f shea|60|60|50|0|50|110812|78339|62163|0|67289
John F. Shea Co., Inc.|41826520|john f. shea|0|0|0|30|0|0|0|0|63310|0
JOHN J. CAMPBELL CO., INC.|620851169|john j. campbell|0|0|0|0|76|0|0|0|0|129475
JOHN T. MORGAN SHEET METAL CO., INC.|540701042|john t. morgan sheet metal|33|36|34|43|39|63512|66841|65123|71645|67223
JOHNSON ROOFING SOLUTIONS, LLC|824311961|johnson roofing|0|0|0|44|28|0|0|0|80120|50085
Johnson's Roofing Service Inc|561458196|johnson's roofing service|0|93|93|96|109|0|221910|151186|234996|261012
Joiner Sheet Metal & Roofing Inc|203948133|joiner sheet metal & roofing|49|46|49|51|52|87654|80319|81694|57486|88196
Jolly Roofing & Contracting|621624798|jolly roofing & contracting|332|244|453|432|352|698327|487309|449997|536839|597914
Jones & Cleary Roofing / Sheet Metal|362313117|jones & cleary roofing / sheet metal|36|41|48|48|49|30357|34921|65160|72060|75477
Jonesboro Roofing Co., Inc.|710533611|jonesboro roofing|69|0|0|84|75|167588|0|0|191628|189720
Josall Syracuse Inc|160869984|josall syracuse|36|32|0|24|0|43601|44041|0|44041|0
Joseph S. Smith Roofing, Inc.|232225546|joseph s. smith roofing|18|0|24|26|20|33846|0|41287|42580|34420
JOSEPH WARD ENTERPRISES, INC.|454489791|joseph ward|17|0|0|0|0|28656|0|0|0|0
Jottan, Inc.|222768915|jottan|80|85|81|83|0|128973|148155|156558|131585|0
Joyland Roofing|812515247|joyland roofing|0|0|0|0|32|0|0|0|0|49357
JP Carroll Roofing, LLC|61369835|jp carroll roofing|0|0|0|38|0|0|0|0|71776|0
JR & Co., Inc|710871020|jr|280|271|274|276|0|496438|551987|418674|471714|0
JR Roofing|263983582|jr roofing|0|8|6|9|0|0|12876|8882|12783|0
JRT ROOFING AND WATERPROOFING|851253593|jrt roofing & waterproofing|0|0|0|50|0|0|0|0|1800|0
JRT Top Notch Roofs, LLC|452933462|jrt top notch roofs|37|20|10|20|19|49986|25246|17500|23462|28116
JT Rams LLC|452862309|jt rams|0|22|23|30|28|0|39100|37409|43232|39228
Jurin Roofing Services, Inc.|251891877|jurin roofing|42|38|35|36|29|88640|81317|74379|79796|61338
JWC General Contractors, LLC|824018890|jwc general|0|0|0|0|35|0|0|0|0|68997
K SIMON CONSTRUCTION, INC.|814269896|k simon|0|0|10|0|0|0|0|17236|0|0
K&W Roofing|311606825|k & w roofing|0|0|23|20|43|0|0|32947|17699|8222
Kalkreuth Roofing & Sheet Metal, Inc.|550647319|kalkreuth roofing & sheet metal|199|173|164|152|180|346745|300091|213520|274501|348252
KAM ROOFING SERVICES LLC|833997083|kam roofing|0|17|27|72|37|0|33558|51032|131810|58782
Kanga Roof|232774532|kanga roof|0|0|15|17|18|0|0|30268|29853|28902
KAPILI CONSTRUCTION LLC|261749309|kapili|0|0|0|0|152|0|0|0|0|305021
Katchmark Construction A Tecta America Company LLC|882190831|katchmark construction a tecta america|0|0|0|5|0|0|0|0|12548|0
Katchmark Construction Inc|541703962|katchmark|46|49|0|0|0|95680|101920|0|0|0
Kato Roofing Inc|411730975|kato roofing|0|34|32|0|37|0|69431|61140|0|74847
Kaufman Sheet Metal & Roofing Inc.|410958314|kaufman sheet metal & roofing|0|28|28|31|0|0|44284|46728|62400|0
Kaw Roofing and Sheet Metal, Inc.|480583315|kaw roofing & sheet metal|45|0|0|46|50|80523|0|0|71072|89323
Kayco Roofing|263232677|kayco roofing|0|0|27|27|0|0|0|56160|56160|0
Kearns Brothers, LLC|382950135|kearns brothers|0|58|54|50|1|0|87614|83087|86814|2608
Keith Green Construction||keith green|0|14|0|0|0|0|21918|0|0|0
Keith Tilden Roofing Co Inc|363370850|keith tilden roofing|0|43|82|53|55|0|84030|148374|73141|120587
Kelley Brothers Roofing|311121475|kelley brothers roofing|80|70|74|91|96|166396|151203|148532|184179|178942
Kelly Roofing|320530057|kelly roofing|0|0|200|0|0|0|0|298995|0|0
Kentex Roofing Systems, LLC|261980115|kentex roofing|27|25|35|22|32|50113|46929|61000|46900|60304
KERKAN ROOFING INC.||kerkan roofing|0|59|52|54|54|0|114035|95752|99509|99509
Ketcher & Company, Inc.||ketcher|48|49|59|48|53|87915|64517|56266|88032|73921
Kidd Roofing|742736561|kidd roofing|130|101|84|126|162|272047|187358|160475|249230|312947
Kieff's Roofing Inc|382409568|kieff's roofing|20|0|0|0|0|35829|0|0|0|0
King of Texas Roofing|752969578|king of texas roofing|79|79|69|69|67|138205|141958|143899|137000|118250
King-Lar Roofing Inc|200725267|king-lar roofing|9|7|7|9|4|14194|7642|7528|11487|4653
Kingdom Roofing Systems|454779766|kingdom roofing|0|30|0|0|0|0|65000|0|0|0
Kings Roofing|770467753|kings roofing|0|150|123|128|0|0|250000|263403|233186|0
KINGS ROOFING NWFL, LLC|863585784|kings roofing nwfl|0|0|35|0|0|0|0|14882|0|0
Kirberg Roofing Inc dba Kirberg Company|431024686|kirberg roofing inc dba kirberg|0|0|0|91|14|0|0|0|154382|23622
Kirkey Roofing Inc.|203325585|kirkey roofing|0|0|41|48|46|0|0|32538|130736|104907
Kirtley Roofing and Sheet Metal, LLC|461305282|kirtley roofing & sheet metal|0|51|60|65|71|0|90532|86758|103667|105871
Klein Contracting Corporation|581848504|klein contracting|34|23|42|48|48|59434|49483|76704|105045|94290
KLR Roofing Corp.|263068727|klr roofing|0|0|0|0|47|0|0|0|0|61837
KMEIER Roof Systems, Inc.|431709063|kmeier roof|35|0|0|0|0|37126|0|0|0|0
Knickerbocker Roofing & Paving Co., Inc.|362391016|knickerbocker roofing & paving|71|63|71|70|63|129747|116910|132286|122484|118497
Knickerbocker Sheet Metal Co., Inc.|362391015|knickerbocker sheet metal|0|11|10|10|11|0|21112|21116|21026|23013
Knox Roofing, INc.|770320543|knox roofing|35|35|0|35|0|68758|67415|0|71517|0
KODE CONSTRUCTION SERVICES LLC|922204296|kode|0|0|0|16|23|0|0|0|9680|17997
Kodiak Roofing & Waterproofing Co.|911784678|kodiak roofing & waterproofing|65|0|0|0|0|156000|0|0|0|0
Korellis|351506330|korellis|153|160|200|175|155|282847|285375|330529|288431|305046
Kovach Enclosure Systems|842979254|kovach enclosure|329|284|213|203|314|744254|607040|454778|375969|601560
KPost Company|270073666|kpost|405|388|386|398|0|830771|794312|783095|821989|0
Kreiling Roofing Co|371151409|kreiling roofing|66|72|82|92|93|118986|114800|143081|152109|156631
Kudu Roofing, LLC|203031904|kudu roofing|0|0|0|23|24|0|0|0|42081|45382
Kulp's of Stratford|391915695|kulp's of stratford|38|39|39|41|39|67000|65820|70500|64450|69659
L & J Total Holdings LLC|863576626|l & j total|0|0|0|140|0|0|0|0|28000|0
L & N PROPERTY SOLUTIONS, LLC|813164839|l & n property|0|0|9|0|0|0|0|4967|0|0
L. Martone & Sons, Inc.|111618341|l. martone & sons|55|59|0|0|0|109504|122756|0|0|0
L.E ROOFING L.L.C.|901070424|l.e roofing l.l.c|30|0|0|0|0|32897|0|0|0|0
L.E. Morgan Construction, Inc.|800776793|l.e. morgan|0|11|0|0|0|0|14704|0|0|0
L.E. Schwartz & Son, Inc.|580670431|l.e. schwartz & son|70|49|50|52|0|117057|119438|103078|104355|0
L.H. Krueger and Son, Inc.|391377423|l.h. krueger & son|36|34|30|32|30|58752|118584|52500|56000|53500
LaFerney, Inc|621004312|laferney|0|0|0|0|26|0|0|0|0|48567
Lake Area Roofing & Construction, Inc.|710888717|lake area roofing|21|0|0|0|21|31780|0|0|0|30110
Lake City Power Wash & Roofing Inc.|820507245|lake city power wash & roofing|0|0|0|0|25|0|0|0|0|52000
Lakeside Roofing Co., Inc.|370952770|lakeside roofing|48|47|48|45|49|78021|69557|71288|76712|79413
Lallier Construction, Inc.|841313776|lallier|37|29|38|0|54|64463|64119|64135|0|93818
Landmark Contracting, LLC|473186402|landmark contracting|0|0|21|18|0|0|0|26753|26235|0
Landmark Exteriors, Inc.|061450777|landmark exteriors|0|0|0|0|45|0|0|0|0|102088
Langer Roofing & Sheet Metal Inc.|390667560|langer roofing & sheet metal|130|125|142|123|0|233605|211204|219850|232988|0
Langlois Roofing|363256196|langlois roofing|0|21|23|24|0|0|36876|38897|43680|0
Laraway Roofing, Inc.|410986127|laraway roofing|10|11|10|9|9|19862|20013|17141|17145|16690
LARRY L VAUGHT ROOFING INC|430962027|larry l vaught roofing|0|0|12|11|17|0|0|21395|19858|30650
Larry L. Vaught Roofing, Inc.||larry l. vaught roofing|13|13|0|0|0|23516|23771|0|0|0
LAST CALL ROOFING INC|933456140|last call roofing|0|0|0|0|29|0|0|0|0|31155
Latite Roofing & Sheet Metal, LLC|208965748|latite roofing & sheet metal|0|390|0|464|307|0|832369|0|757612|712849
LBK Roofing|820782705|lbk roofing|0|0|0|0|31|0|0|0|0|64480
LEAK BUSTERS ROOF REPAIRS LLC|811242426|leak busters roof repairs|0|0|0|32|34|0|0|0|63750|43118
Ledegar Roofing Cpomapny Inc|391853930|ledegar roofing cpomapny|52|0|35|33|30|92451|0|69392|74652|77352
Legacy Contracting Solutions|202247660|legacy contracting|0|0|52|52|49|0|0|108740|43192|39850
Legacy Restoration, LLC|352433040|legacy restoration|0|0|184|300|19|0|0|517727|624000|39520
Legacy Roofing, Inc.|824442952|legacy roofing|0|50|0|0|0|0|10400|0|0|0
